STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,TMAX,TMIN
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,8/1/2017,8.05,107,88
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,8/2/2017,4.47,102,90
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,8/3/2017,3.8,100,75
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,8/4/2017,5.59,109,82
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,8/5/2017,7.61,109,83
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,8/6/2017,8.28,107,82
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,8/7/2017,6.49,111,83
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,8/8/2017,6.49,111,80
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,8/9/2017,8.28,111,82
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,8/10/2017,4.47,111,77
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,8/11/2017,5.82,110,87
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,8/12/2017,6.71,110,85
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,8/13/2017,6.71,110,83
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,8/14/2017,7.16,107,75
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,8/15/2017,10.07,99,73
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,8/16/2017,8.28,101,71
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,8/17/2017,6.26,106,75
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,8/18/2017,6.04,108,76
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,8/19/2017,7.61,106,78
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,8/20/2017,5.82,106,77
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,8/21/2017,5.82,107,74
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,8/22/2017,8.5,110,79
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,8/23/2017,7.16,109,81
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,8/24/2017,7.61,107,78
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,8/25/2017,7.38,110,83
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,8/26/2017,6.71,115,86
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,8/27/2017,5.37,117,84
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,8/28/2017,7.16,115,88
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,8/29/2017,6.49,116,88
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,8/30/2017,7.61,115,90
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,8/31/2017,7.38,114,93
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,9/1/2017,5.37,114,89
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,9/2/2017,9.62,105,87
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,9/3/2017,8.05,101,84
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,9/4/2017,6.93,102,82
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,9/5/2017,5.37,108,80
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,9/6/2017,6.26,109,84
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,9/7/2017,6.49,106,79
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,9/8/2017,6.26,99,81
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,9/9/2017,5.82,93,70
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,9/10/2017,3.8,101,75
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,9/11/2017,7.61,107,85
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,9/12/2017,7.16,109,80
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,9/13/2017,10.74,103,77
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,9/14/2017,12.75,90,69
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,9/15/2017,9.84,91,68
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,9/16/2017,7.83,97,70
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,9/17/2017,7.61,95,67
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,9/18/2017,6.71,97,71
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,9/19/2017,9.62,93,69
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,9/20/2017,10.51,92,71
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,9/21/2017,8.5,88,67
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,9/22/2017,10.74,84,62
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,9/23/2017,8.72,87,62
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,9/24/2017,6.04,89,61
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,9/25/2017,5.37,91,65
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,9/26/2017,5.82,95,65
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,9/27/2017,5.37,98,67
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,9/28/2017,4.92,99,72
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,9/29/2017,3.8,102,71
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,9/30/2017,5.82,101,69
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,10/1/2017,7.61,96,67
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,10/2/2017,10.29,91,68
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,10/3/2017,5.82,86,62
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,10/4/2017,4.7,92,61
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,10/5/2017,4.92,97,68
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,10/6/2017,6.26,98,69
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,10/7/2017,5.37,101,69
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,10/8/2017,5.59,97,66
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,10/9/2017,7.16,85,68
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,10/10/2017,4.25,89,61
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,10/11/2017,4.03,92,60
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,10/12/2017,2.24,93,59
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,10/13/2017,5.59,94,68
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,10/14/2017,7.16,96,70
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,10/15/2017,4.03,96,68
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,10/16/2017,4.7,100,66
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,10/17/2017,3.58,101,68
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,10/18/2017,4.7,99,72
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,10/19/2017,7.16,95,68
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,10/20/2017,7.61,85,64
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,10/21/2017,6.93,87,65
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,10/22/2017,4.7,94,65
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,10/23/2017,6.71,104,72
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,10/24/2017,9.17,102,80
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,10/25/2017,5.59,99,72
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,10/26/2017,2.68,99,68
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,10/27/2017,4.03,101,67
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,10/28/2017,5.82,100,68
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,10/29/2017,5.37,95,69
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,10/30/2017,7.61,84,62
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,10/31/2017,4.92,80,65
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,11/1/2017,4.25,82,58
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,11/2/2017,6.49,79,58
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,11/3/2017,3.8,76,56
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,11/4/2017,3.8,82,57
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,11/5/2017,4.25,81,58
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,11/6/2017,3.58,83,57
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,11/7/2017,2.46,82,64
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,11/8/2017,4.03,81,61
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,11/9/2017,4.92,84,58
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,11/10/2017,3.13,84,56
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,11/11/2017,3.8,85,60
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,11/12/2017,3.36,82,59
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,11/13/2017,3.8,86,60
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,11/14/2017,3.58,88,58
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,11/15/2017,2.46,86,59
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,11/16/2017,2.68,83,61
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,11/17/2017,4.03,81,62
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,11/18/2017,5.82,80,61
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,11/19/2017,4.25,80,51
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,11/20/2017,4.03,79,52
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,11/21/2017,2.68,86,53
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,11/22/2017,4.7,96,62
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,11/23/2017,3.8,92,63
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,11/24/2017,4.47,90,61
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,11/25/2017,4.25,89,59
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,11/26/2017,3.8,88,57
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,11/27/2017,5.82,82,61
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,11/28/2017,3.36,77,59
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,11/29/2017,2.91,80,57
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,11/30/2017,2.91,77,53
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,12/1/2017,2.91,82,51
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,12/2/2017,4.03,83,51
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,12/3/2017,3.58,78,54
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,12/4/2017,11.63,69,59
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,12/5/2017,8.95,67,50
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,12/6/2017,9.17,78,55
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,12/7/2017,10.07,76,55
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,12/8/2017,4.25,82,52
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,12/9/2017,2.91,78,53
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,12/10/2017,5.59,83,62
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,12/11/2017,4.7,85,55
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,12/12/2017,5.37,85,51
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,12/13/2017,4.25,79,51
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,12/14/2017,9.17,82,50
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,12/15/2017,3.58,78,53
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,12/16/2017,3.8,69,49
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,12/17/2017,9.62,70,56
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,12/18/2017,4.03,75,48
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,12/19/2017,3.8,72,46
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,12/20/2017,5.59,67,44
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,12/21/2017,10.29,64,49
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,12/22/2017,3.13,64,41
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,12/23/2017,2.24,65,43
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,12/24/2017,4.7,71,42
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,12/25/2017,3.13,69,46
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,12/26/2017,3.58,72,43
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,12/27/2017,2.91,79,45
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,12/28/2017,3.8,80,47
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,12/29/2017,4.25,82,47
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,12/30/2017,2.91,79,48
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,12/31/2017,4.47,74,50
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,1/1/2018,2.46,76,46
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,1/2/2018,3.8,86,53
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,1/3/2018,2.68,76,56
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,1/4/2018,3.36,80,51
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,1/5/2018,2.46,80,52
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,1/6/2018,3.36,78,56
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,1/7/2018,3.8,79,60
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,1/8/2018,2.01,72,61
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,1/9/2018,3.8,64,51
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,1/10/2018,2.01,69,49
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,1/11/2018,3.13,73,48
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,1/12/2018,2.91,76,50
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,1/13/2018,4.7,81,54
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,1/14/2018,4.47,81,54
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,1/15/2018,3.58,79,50
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,1/16/2018,3.36,77,55
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,1/17/2018,3.58,78,54
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,1/18/2018,4.03,77,53
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,1/19/2018,5.59,74,51
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,1/20/2018,7.83,66,48
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,1/21/2018,4.03,67,43
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,1/22/2018,3.13,70,43
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,1/23/2018,4.47,77,50
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,1/24/2018,4.92,75,47
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,1/25/2018,6.26,73,45
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,1/26/2018,4.25,73,46
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,1/27/2018,5.14,76,47
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,1/28/2018,8.28,84,59
USW00093138,"PALM SPRINGS ASOS, CA US",33.8222,-116.5043,124.7,1/29/2018,5.37,85,63
